"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L13613","CpuTimeTracker.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/CpuTimeTracker.java","L13602","4","0","4","2","57","116"
"L13614","Daemon.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/Daemon.java","L13602","1","0","5","2","35","73"
"L13615","DataChecksum.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/DataChecksum.java","L13602","40","0","17","11","364","516"
"L13616","DirectBufferPool.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/DirectBufferPool.java","L13602","7","0","3","0","51","109"
"L13617","DiskChecker.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/DiskChecker.java","L13602","20","0","6","5","110","219"
"L13618","ExitUtil.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/ExitUtil.java","L13602","5","0","14","5","90","204"
"L13619","FileBasedIPList.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/FileBasedIPList.java","L13602","10","0","1","3","73","116"
"L13620","GenericOptionsParser.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/GenericOptionsParser.java","L13602","39","0","10","0","297","523"
"L13621","GenericsUtil.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/GenericsUtil.java","L13602","2","0","4","0","25","76"
"L13622","GSet.java","C:/Users/Jasmine/Desktop/Software_Measurement/Hadoop-Releases/hadoop-rel-release-2.8.0/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/GSet.java","L13602","1","0","8","0","16","105"
