"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L190","boolean hasChanged(File file)","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.hasChanged(Ljava/io/File;)Z","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","91","5","103","6","0","0","0","0","0","0","0","0","118.039","33","9042.63","434.04","57","28","502.369","274.019","99.3392","58.0931","68.0226","39.7793","4","2","1","1","2","0","0","0","0","0","13","13","7","1","13","13","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L202","boolean hasDirectoryChanged(File directory)","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.hasDirectoryChanged(Ljava/io/File;)Z","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","105","5","125","6","0","0","0","0","0","0","0","0","120.768","22.1667","7287.55","375.885","67","30","404.864","328.762","91.7844","53.6751","80.3312","46.9773","6","4","3","1","1","0.0952381","2","0","0.0952381","2","19","21","11","1","19","21","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L206","boolean hasFileChanged(File file)","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.hasFileChanged(Ljava/io/File;)Z","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","127","5","137","6","0","0","0","0","0","0","0","0","116.239","17.0625","3647.13","236.938","44","29","202.618","213.751","108.726","63.5825","113.399","66.315","3","1","1","2","1","0.2","2","0","0.2","2","8","11","5","1","8","11","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L217","long computeChecksum(File file)","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.computeChecksum(Ljava/io/File;)J","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","139","5","162","6","0","0","0","0","0","0","0","0","239.42","38.5714","24381.5","840.827","112","50","1354.53","632.112","87.2236","51.0079","76.5807","44.784","4","3","3","1","0","0.125","3","0","0.125","3","21","24","14","1","21","24","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L258","void writeChecksums()","org.apache.hadoop.maven.plugin.protoc.ProtocMojo$ChecksumComparator.writeChecksums()V","L148","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\protoc\ProtocMojo.java","164","5","171","6","0","0","0","0","0","0","0","0","84.9966","12.75","2018.64","159.725","35","23","112.147","158.325","110.747","64.7643","84.1749","49.2251","1","1","1","1","0","0","0","0","0","0","8","8","4","0","8","8","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L373","OutputBufferThread(InputStream is)","org.apache.hadoop.maven.plugin.util.Exec$OutputBufferThread.<init>(Ljava/io/InputStream;)V","L370","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","106","5","114","6","0","0","0","0","0","0","0","0","146.211","16.25","4133.56","257.563","50","34","229.642","254.373","106.143","62.072","117.591","68.7665","2","1","1","1","0","0.357143","5","5","0.357143","5","9","9","5","1","9","9","5","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L427","void run()","org.apache.hadoop.maven.plugin.util.Exec$OutputBufferThread.run()V","L370","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","116","5","127","6","0","0","0","0","0","0","0","0","117.759","18.8571","4213.95","260.891","46","29","234.108","223.467","101.926","59.606","71.6532","41.9025","3","2","2","0","0","0","0","0","0","0","12","12","6","0","12","12","6","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L383","List<String> getOutput()","org.apache.hadoop.maven.plugin.util.Exec$OutputBufferThread.getOutput()Ljava/util/List;","L370","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\util\Exec.java","134","5","136","6","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","168.288","98.4139","1","0","0","1","0","0.625","5","5","0.625","5","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L628","int compare(File lhs, File rhs)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo$1.compare(Ljava/io/File;Ljava/io/File;)I","L627","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","327","7","330","8","0","0","0","0","0","0","0","0","37.9742","8.33333","585.903","70.0192","19","13","32.5502","70.3084","126.197","73.7994","106.465","62.2601","1","0","0","0","1","0","0","0","0","0","4","4","1","2","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L633","String normalizePath(File file)","org.apache.hadoop.maven.plugin.versioninfo.VersionInfoMojo$1.normalizePath(Ljava/io/File;)Ljava/lang/String;","L627","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.8.0\hadoop-maven-plugins\src\main\java\org\apache\hadoop\maven\plugin\versioninfo\VersionInfoMojo.java","332","7","335","8","0","0","0","0","0","0","0","0","49.6634","6.6","580.8","69.6121","22","16","32.2667","88","125.03","73.1169","104.781","61.2754","1","0","0","1","0","0","0","0","0","0","4","4","1","1","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
